activityYear,activityMonth,sum
2012,10,8.89
2013,2,6.13
2013,3,19.02
2013,5,9.74
2013,12,13.39
2014,1,13.42
2014,3,28.430000000000003
2014,4,34.78
2014,5,13.0
2014,8,9.32
2014,9,14.74
2014,10,39.99
2014,11,48.49
2014,12,42.0
2015,1,26.1
2015,2,17.619999999999997
2015,3,4.09
2015,4,7.1
2015,6,12.93
2015,7,24.919999999999998
2015,9,19.86
2015,10,64.61000000000001
2015,11,93.06
2015,12,80.32
2016,1,69.98
2016,2,21.78
2016,3,28.83
2016,4,25.129999999999995
2016,5,15.68
2016,7,8.42
2016,8,27.029999999999998
2016,9,26.0
2016,10,15.15
2016,11,3.92
2016,12,2.01
2017,1,22.799999999999997
2017,2,11.52
